        (-46.5812,0)
        (-32.9085,0)
        (-24.0872,0)
        (-19.7843,0)
        (-17.0015,0)
        (-16.2625,0)
         (-14.578,0)
        (-14.3325,0)
        (-10.4683,0)
 (-0.577478,8.89481)
(-0.577478,-8.89481)
 (-0.625165,6.37095)
(-0.625165,-6.37095)
   (-1.1303,6.26731)
  (-1.1303,-6.26731)
 (-0.570347,4.01966)
(-0.570347,-4.01966)
        (-3.42935,0)
        (-2.26173,0)
        (-2.03987,0)
        (-1.78932,0)
        (-1.84468,0)
        (-1.45822,0)
       (-0.404594,0)
       (-0.593249,0)
       (-0.870512,0)
       (-0.685377,0)
     (2.19207e-15,0)
     (2.05325e-17,0)
     (2.34515e-21,0)
