           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
   (0.0067632,0)   (0.00109799,0)   (0.00619106,0)  (-0.00135036,0)  (0.000333005,0)  (-0.00582802,0)   (0.00540846,0)  (0.000225136,0)   (0.00108456,0) (-0.000960824,0)  (3.18125e-05,0)  (-0.00582802,0) (-0.000244419,0)    (0.0311828,0)            (0,0) (-0.000154038,0)   (0.00409327,0)  (-0.00582802,0)
  (-0.0067632,0)  (-0.00109799,0)  (-0.00619106,0)   (0.00135036,0) (-0.000333005,0)   (0.00582802,0)  (-0.00540846,0) (-0.000225136,0)  (-0.00108456,0)  (0.000960824,0) (-3.18125e-05,0)   (0.00582802,0)  (0.000244419,0)   (-0.0311828,0)            (0,0)  (0.000154038,0)  (-0.00409327,0)   (0.00582802,0)
 (-0.00189989,0)  (0.000530171,0)    (0.0029894,0)   (0.00081323,0)  (0.000105805,0)   (-0.0393335,0)  (-0.00164714,0)   (0.00417422,0)    (0.0201087,0)   (0.00050083,0)   (0.00043037,0)   (-0.0393335,0)  (-0.00124727,0)  (-0.00939289,0)            (0,0)  (0.000441165,0)  (-0.00123298,0)   (-0.0393335,0)
  (0.00189989,0) (-0.000530171,0)   (-0.0029894,0)  (-0.00081323,0) (-0.000105805,0)    (0.0393335,0)   (0.00164714,0)  (-0.00417422,0)   (-0.0201087,0)  (-0.00050083,0)  (-0.00043037,0)    (0.0393335,0)   (0.00124727,0)   (0.00939289,0)            (0,0) (-0.000441165,0)   (0.00123298,0)    (0.0393335,0)
   (0.0539325,0)     (0.046425,0)      (0.26177,0)   (0.00872132,0)    (0.0116101,0)      (3.99182,0)   (0.00588048,0)     (0.190704,0)      (0.91869,0)   (0.00830197,0)    (0.0197889,0)      (3.99182,0)   (-0.0235576,0)     (0.248212,0)            (0,0)   (0.00523293,0)     (0.032582,0)      (3.99182,0)
  (-0.0539325,0)    (-0.046425,0)     (-0.26177,0)  (-0.00872132,0)   (-0.0116101,0)     (-3.99182,0)  (-0.00588048,0)    (-0.190704,0)     (-0.91869,0)  (-0.00830197,0)   (-0.0197889,0)     (-3.99182,0)    (0.0235576,0)    (-0.248212,0)            (0,0)  (-0.00523293,0)    (-0.032582,0)     (-3.99182,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
